23483,16648,22070,22047,11256,11747,20782,4565,7995,23593
15474,17163,13007,11016,13633,8598,20616,26902,27566,2510
23974,14240,18592,6794,12541,14398,13596,28492,13395,14507
26311,19128,13578,20692,21926,17739,10239,10031,16169,21577
25777,20302,23144,15607,7078,30388,8620,18443,3082,21479
21809,18785,15514,3015,6954,20463,15296,285,24838,4603
11007,17015,25074,27019,6546,2612,30367,29982,29264,1243
4677,12441,211,20913,4328,6788,20953,29066,15066,14710
29418,6111,8577,5582,21820,4641,14682,31652,22483,14669
21822,6400,15596,8641,26340,19529,3740,32078,10408,14080
