10408,3740,8641,21822,31652,4641,21820,8577,6111,29418
14710,29066,6788,4328,211,12441,4677,1243,30367,27019
17015,24838,15296,6954,15514,18785,21809,8620,15607,23144
25777,21577,10031,10239,21926,19128,26311,6794,14240,27566
26902,20616,8598,13633,11016,13007,15474,23593,11747,11256
23483,16648,22070,22047,20782,4565,7995,17163,2510,23974
18592,12541,14398,13596,28492,13395,14507,13578,20692,17739
16169,20302,7078,30388,18443,3082,21479,3015,20463,285
4603,11007,25074,6546,2612,29982,29264,20913,20953,15066
5582,14682,22483,14669,6400,15596,26340,19529,32078,14080
