16917,23944,18942,14111,19297,25111,12340,10516,1791,32010
28465,20691,9435,6764,3945,28501,4891,7325,9031,24740
17326,23451,22886,13633,28712,10623,32516,31427,20429,75
1716,30658,29675,15586,26450,24307,15982,2904,26428,15764
9902,26732,10175,10507,16523,23635,1232,28618,14780,21176
7421,20853,16740,13312,5539,583,3558,9170,28512,32178
29947,2263,32459,27717,18946,16830,23907,8403,30359,11140
26310,28882,358,23794,5668,27649,30529,15207,22514,14158
27249,19671,9187,3830,31818,27412,29460,13294,9475,15436
26246,18562,11716,5331,12754,24636,4351,9763,7704,18183
