18183,9763,24636,12754,5331,18562,26246,15436,9475,29460
27412,3830,19671,14158,22514,30529,5668,23794,30359,8403
18946,28512,3558,583,5539,16740,7421,28618,1232,2904
24307,26450,1716,20429,31427,28712,13633,22886,24740,4891
28501,3945,10516,25111,18942,16917,23944,14111,19297,12340
1791,32010,28465,20691,9435,6764,7325,9031,17326,23451
10623,32516,75,30658,29675,15586,15982,26428,15764,9902
26732,10175,10507,16523,23635,14780,21176,20853,13312,9170
32178,29947,2263,32459,27717,16830,23907,11140,26310,28882
358,27649,15207,27249,9187,31818,13294,11716,4351,7704
